libID	molngID	samplename	species	genome_ver	fastqs	pi_name	requester_name	readType
L63560	MOLNG-3791	Clutch2_WT	Danio_rerio	danRer11	/n/analysis/Trainor/lm2632/MOLNG-3791/OM0410H/L63560_S1_L001_R1_001 /n/analysis/Trainor/lm2632/MOLNG-3791/OM0410H/L63560_S1_L001_R2_001	Trainor	lm2632	PairEnd
L63561	MOLNG-3791	Clutch2_Het	Danio_rerio	danRer11	/n/analysis/Trainor/lm2632/MOLNG-3791/OM0410H/L63561_S2_L001_R1_001 /n/analysis/Trainor/lm2632/MOLNG-3791/OM0410H/L63561_S2_L001_R2_001	Trainor	lm2632	PairEnd
L63562	MOLNG-3791	Clutch2_Mutant	Danio_rerio	danRer11	/n/analysis/Trainor/lm2632/MOLNG-3791/OM0410H/L63562_S3_L001_R1_001 /n/analysis/Trainor/lm2632/MOLNG-3791/OM0410H/L63562_S3_L001_R2_001	Trainor	lm2632	PairEnd
L63563	MOLNG-3791	Clutch3_WT	Danio_rerio	danRer11	/n/analysis/Trainor/lm2632/MOLNG-3791/OM0410H/L63563_S4_L001_R1_001 /n/analysis/Trainor/lm2632/MOLNG-3791/OM0410H/L63563_S4_L001_R2_001	Trainor	lm2632	PairEnd
L63564	MOLNG-3791	Clutch3_Het	Danio_rerio	danRer11	/n/analysis/Trainor/lm2632/MOLNG-3791/OM0410H/L63564_S5_L001_R1_001 /n/analysis/Trainor/lm2632/MOLNG-3791/OM0410H/L63564_S5_L001_R2_001	Trainor	lm2632	PairEnd
L63565	MOLNG-3791	Clutch3_Mutant	Danio_rerio	danRer11	/n/analysis/Trainor/lm2632/MOLNG-3791/OM0410H/L63565_S6_L001_R1_001 /n/analysis/Trainor/lm2632/MOLNG-3791/OM0410H/L63565_S6_L001_R2_001	Trainor	lm2632	PairEnd
L63566	MOLNG-3791	Clutch4_WT	Danio_rerio	danRer11	/n/analysis/Trainor/lm2632/MOLNG-3791/OM0410H/L63566_S7_L001_R1_001 /n/analysis/Trainor/lm2632/MOLNG-3791/OM0410H/L63566_S7_L001_R2_001	Trainor	lm2632	PairEnd
L63567	MOLNG-3791	Clutch4_Het	Danio_rerio	danRer11	/n/analysis/Trainor/lm2632/MOLNG-3791/OM0410H/L63567_S8_L001_R1_001 /n/analysis/Trainor/lm2632/MOLNG-3791/OM0410H/L63567_S8_L001_R2_001	Trainor	lm2632	PairEnd
L63568	MOLNG-3791	Clutch4-Mutant	Danio_rerio	danRer11	/n/analysis/Trainor/lm2632/MOLNG-3791/OM0410H/L63568_S9_L001_R1_001 /n/analysis/Trainor/lm2632/MOLNG-3791/OM0410H/L63568_S9_L001_R2_001	Trainor	lm2632	PairEnd
